species,mass,type,energy
Pteropus gouldii,779,1,43.7
Pteropus poliocephalus,628,1,34.8
Hypsignathus monstrosus,258,1,23.3
Eidolon helvum,315,1,22.4
Meliphaga virescens,24.3,2,2.46
Melipsittacus undulatus,35,2,3.93
Sturnus vulgaris,72.8,2,9.15
Falco spaverius,120,2,13.8
Falco tinnunculus,213,2,14.6
Corvus ossifragus,275,2,22.8
Larus atricilla,370,2,26.2
Columba livia,384,2,25.9
Columba livia,442,2,29.5
Columba livia,412,2,43.7
Columba livia,330,2,34
Corvus cryptoleucos,480,2,27.8
Phyllostomas hastatus,93,3,8.83
Plecotusauritus,8,3,1.35
Pipstrellus pipstrellus,6.7,3,1.12
Plecotusauritus,7.7,3,1.02